panel,param_name,param_value,throughput,curve
pad,baseline,,15.447,baseline
pad,fault_rate,0.01,14.974,degraded
pad,fault_rate,0.05,13.467,degraded
pad,fault_rate,0.1,12.088,degraded
stand,baseline,,15.447,baseline
stand,stand_fault_rate,0.01,15.324,degraded
stand,stand_fault_rate,0.05,14.884,degraded
stand,stand_fault_rate,0.1,14.416,degraded
weather,baseline,,15.447,baseline
weather,weather_fault_rate,0.01,13.558,degraded
weather,weather_fault_rate,0.05,9.332,degraded
weather,weather_fault_rate,0.1,6.816,degraded
turnaround,baseline,,15.447,baseline
turnaround,minutes,10,15.447,baseline
turnaround,minutes,15,11.091,degraded
turnaround,minutes,20,8.53,degraded
turnaround,minutes,30,5.801,degraded
